bicepscircumferenceflexed,neckcircumference,subjectid,balloffootlength,waistbacklength,waistheightomphalion,stature,tibialheight,thighcircumference,shouldercircumference,poplitealheight,headlength,heelbreadth,buttockpopliteallength,shoulderelbowlength,calfcircumference,handbreadth,bizygomaticbreadth,waistbreadth,hipbreadthsitting,crotchheight
1,369,400,10027,202,501,1054,1776,491,610,1151,437,206,70,509,368,373,90,142,329,366,877
2,338,380,10032,193,432,1054,1702,476,572,1119,417,201,72,468,353,357,86,135,316,356,851
3,408,403,10033,196,472,1041,1735,477,685,1276,431,202,70,506,367,412,93,135,329,393,854
4,359,407,10092,199,461,968,1655,445,604,1155,393,199,68,437,330,395,91,143,315,367,769
5,356,398,10093,224,467,1245,1914,584,672,1231,523,197,69,567,400,425,94,138,303,372,1014
6,340,395,10115,184,459,1020,1720,473,607,1172,419,198,70,490,363,386,85,144,337,355,828
7,452,461,10117,207,515,1082,1810,503,754,1331,435,211,74,494,372,467,93,158,355,409,874
8,332,412,10237,206,500,1110,1850,509,644,1188,445,185,72,530,384,404,88,145,352,415,934
9,379,435,10242,198,510,1033,1777,482,635,1212,427,198,75,501,363,412,93,145,350,383,875
10,325,372,10244,204,461,1091,1811,504,525,1094,459,190,72,505,379,368,88,138,299,356,909
11,351,445,10246,189,512,1033,1780,487,624,1203,435,200,71,468,362,377,89,150,334,374,839
12,327,374,10260,184,495,1067,1733,488,567,1126,430,189,67,507,363,343,88,133,302,345,872
13,397,436,10265,214,491,1128,1814,508,689,1275,448,199,75,553,398,460,94,149,339,391,923
14,420,468,10272,205,505,1130,1861,519,704,1354,453,208,66,538,393,434,91,154,372,423,913
15,363,399,10286,195,480,1012,1709,457,695,1149,389,186,73,489,350,421,90,141,359,418,804
16,387,435,10293,210,477,1048,1740,501,640,1224,457,199,68,499,382,433,88,148,328,356,885
17,341,402,10303,198,452,1020,1694,467,604,1145,409,195,67,467,358,400,85,143,322,367,810
18,377,411,10304,195,488,1030,1766,481,674,1152,420,188,71,498,372,447,90,147,344,383,860
19,335,385,10305,190,451,1091,1748,485,613,1140,429,196,66,497,359,358,85,139,307,373,876
20,335,392,10310,203,479,1054,1794,475,632,1146,417,204,67,485,375,395,92,138,344,385,861
21,304,377,10312,198,459,1076,1780,481,553,1125,434,202,65,490,379,355,88,139,305,346,863
22,348,367,10319,186,437,1003,1680,446,638,1121,401,197,62,462,332,380,88,137,319,366,785
23,358,388,10338,191,449,1005,1653,461,639,1170,398,203,69,486,337,363,86,133,339,386,807
24,355,378,10339,216,496,1225,1959,555,646,1203,505,201,73,590,417,403,98,139,284,369,1019
25,389,407,10340,208,477,1057,1755,473,665,1160,416,211,67,480,371,462,92,141,344,374,819
26,320,363,10341,192,471,959,1630,454,588,1031,396,187,68,446,333,395,82,145,295,342,788
27,374,414,10349,195,502,1063,1825,488,706,1238,428,206,68,509,373,416,94,143,382,427,866
28,330,365,10354,205,483,1070,1795,495,621,1095,431,196,67,498,362,370,84,140,323,395,857
29,337,375,10358,202,454,1048,1745,484,635,1084,427,203,74,494,378,380,90,144,302,382,857
30,340,384,10361,196,500,1083,1818,499,646,1135,445,200,67,485,362,407,88,136,329,378,864
31,312,374,10367,186,499,1137,1881,509,531,1141,457,206,68,516,388,362,91,138,292,345,924
32,357,395,10368,201,507,1041,1760,503,684,1141,442,213,70,473,382,436,89,140,366,422,854
33,311,358,10371,197,453,1016,1675,454,557,1040,403,188,67,489,347,358,82,142,294,339,822
34,343,392,10385,212,507,1139,1852,519,617,1182,465,202,71,540,408,400,88,142,334,390,920
35,315,383,10389,200,468,1071,1785,486,528,1123,439,197,63,489,352,368,88,138,290,344,865
36,341,397,10404,204,492,1053,1791,508,620,1154,445,205,68,499,376,381,83,136,381,384,867
37,325,357,10406,175,458,1012,1685,459,637,1013,402,193,78,493,356,340,79,139,318,377,815
38,422,414,10419,218,528,1107,1850,516,781,1253,447,204,72,540,392,437,92,144,420,466,892
39,362,385,10422,207,456,1045,1737,484,594,1147,432,205,68,475,360,367,84,132,271,340,857
40,334,414,10423,203,481,1012,1743,476,613,1209,420,204,72,469,342,393,92,145,349,376,818
41,288,353,10427,176,477,1044,1744,463,497,1012,425,202,53,488,364,348,82,133,268,330,836
42,365,440,10447,192,483,966,1679,475,628,1233,412,197,70,470,349,389,86,136,346,363,823
43,351,384,10451,215,492,1099,1836,501,627,1150,439,207,67,480,356,398,93,148,311,379,870
44,374,394,10460,195,471,1048,1730,475,630,1244,415,200,75,498,344,382,85,150,347,368,829
45,359,402,10467,198,475,1052,1762,487,698,1167,434,206,72,517,348,420,87,136,362,430,841
46,314,362,10471,184,436,975,1669,440,551,1086,392,190,71,437,327,373,86,143,274,345,765
47,323,381,10473,189,466,1039,1740,473,570,1100,427,193,61,461,369,336,89,130,296,352,838
48,363,415,10482,167,494,1024,1709,471,652,1190,410,203,65,488,354,385,85,147,345,386,815
49,393,421,10495,213,492,1114,1879,524,642,1195,461,201,78,522,382,404,98,140,346,396,904
50,324,392,10497,185,506,949,1674,456,658,1123,378,193,67,456,343,417,84,139,366,381,789
51,413,400,10510,207,479,1053,1779,488,773,1254,407,197,77,528,352,455,94,145,395,487,829
52,345,397,10515,203,481,1122,1844,520,628,1164,465,208,66,517,395,364,94,145,324,387,894
53,331,398,10517,188,465,964,1637,439,582,1073,387,183,60,454,339,358,81,133,329,371,801
54,385,444,10523,200,495,1035,1754,476,662,1187,419,197,72,487,365,433,91,138,358,382,833
55,375,394,10524,192,485,985,1704,466,589,1155,409,201,67,465,324,377,93,144,316,354,796
56,461,501,10525,216,580,1063,1840,526,781,1309,444,200,80,533,396,456,97,160,438,480,897
57,320,368,10529,208,425,1113,1783,501,532,1093,453,193,64,511,376,373,89,140,265,332,911
58,341,383,10533,181,462,1037,1748,458,671,1184,411,204,65,498,352,418,83,134,332,398,813
59,350,461,10534,197,521,992,1703,465,646,1252,411,192,71,484,372,373,86,160,364,408,839
60,342,398,10553,208,503,1108,1852,505,613,1234,450,200,70,519,385,411,88,143,350,380,890
61,288,334,10557,178,442,963,1609,446,518,1035,401,193,54,445,342,367,77,138,262,330,789
62,321,382,10558,183,444,1040,1709,478,592,1130,423,193,63,492,362,360,85,131,320,352,852
63,294,364,10564,199,475,1113,1835,509,547,1065,458,200,70,493,382,393,84,138,303,369,900
64,343,408,10577,193,466,1020,1679,472,621,1141,418,190,68,489,368,410,88,145,334,381,824
65,380,435,10579,191,519,1015,1742,479,685,1161,413,192,70,479,354,403,89,139,367,390,821
66,308,373,10581,195,454,1026,1698,454,567,1037,407,193,69,466,348,345,82,144,299,350,825
67,340,413,10582,180,461,993,1671,451,621,1112,400,190,69,470,366,370,86,147,342,383,792
68,381,436,10586,207,486,1137,1850,511,658,1258,455,212,76,539,376,404,93,148,361,401,926
69,313,351,10587,196,440,1069,1754,485,548,1117,438,193,61,485,373,364,89,140,281,357,862
70,370,410,10597,188,433,983,1619,443,614,1143,381,195,68,475,332,405,85,144,293,355,786
71,327,373,10599,198,461,1067,1772,488,593,1116,433,201,67,476,351,370,90,143,306,362,860
72,349,346,10601,201,396,1062,1705,489,498,1067,440,200,66,519,359,330,84,131,252,314,874
73,343,399,10614,194,443,955,1619,437,585,1143,379,198,70,459,344,378,84,142,326,365,775
74,328,378,10615,184,458,1006,1726,449,614,1156,395,211,68,465,344,373,88,140,324,384,809
