X1 X2 X3 X4 X5 X6 X7 X8 X9 grupos
4.3161 6.9211 4.9577 9.3834 -0.1326 9.1569 8.8822 2.9634 2.3527 2
2.3014 7.0441 4.0796 8.5707 3.1345 3.6322 5.2701 1.5651 6.1073 1
2.8069 7.9218 6.5897 8.6241 -1.4571 4.2354 6.4054 5.5728 0.8150 2
2.6907 9.3944 3.7498 10.7048 4.1848 5.5096 3.6799 1.5371 -2.4084 1
3.8993 8.5268 4.1178 7.9620 2.4140 6.9974 6.4607 7.5438 -1.9415 2
1.5001 4.3713 4.1896 8.9400 0.9197 6.3958 13.1690 0.1529 3.3746 1
-0.7001 6.3978 5.0039 8.4816 0.9835 4.0654 10.0681 2.9527 3.1763 2
2.6368 7.9675 4.9688 9.8577 1.6237 2.5786 5.1897 3.2222 3.5964 1
0.9719 8.5944 5.2840 9.7538 4.4358 6.7148 3.6801 6.0456 5.9246 1
0.1218 7.6149 6.5024 9.6791 1.6897 4.9926 9.6863 -0.2792 4.4237 2
1.6480 8.2169 3.4401 8.0029 5.9824 5.1634 10.0035 3.6793 2.5874 2
3.7442 7.5534 4.1456 10.3954 3.1365 5.6592 6.6496 -3.0325 6.1488 2
-0.4904 4.7723 5.3385 11.6462 1.8512 14.4648 5.5856 5.2048 0.2723 2
3.4065 10.3867 6.5418 9.4850 0.0238 7.2861 5.8403 -1.4759 2.6565 1
3.7563 7.0718 5.8298 9.6984 4.1652 5.5874 4.6687 -0.9986 4.4988 1
1.6231 6.0721 5.7740 9.1406 3.7304 4.7228 10.3753 6.1600 0.0743 2
2.4494 7.1975 4.4239 9.9132 -1.0446 10.6874 7.2766 1.2204 4.3984 2
1.8657 5.3924 4.4553 9.8338 0.3780 8.0395 6.6304 -0.4081 5.2613 1
2.2271 6.7480 7.4099 9.6130 -1.3352 6.7971 5.1761 5.1096 6.3388 1
4.0735 6.8806 3.2508 7.5864 1.6924 5.1046 6.0410 4.9602 4.3623 1
1.7153 8.4087 2.4199 9.5044 2.8040 10.2976 4.1236 2.7082 -0.4771 2
-0.3176 6.0493 5.3003 8.5784 3.0975 8.2109 10.4566 5.0133 9.2827 2
3.6346 8.2695 6.5554 8.9662 3.9263 8.8877 7.0042 6.4660 5.2729 2
2.5222 7.4169 4.8116 8.0671 2.8933 3.1888 10.0892 6.2055 -0.7665 2
5.6499 8.5722 4.4501 11.3238 -0.9906 7.0527 6.9185 1.6402 -1.3040 1
0.7967 5.2089 3.4780 8.9670 1.5729 5.6078 8.1733 -1.2324 6.2615 1
1.4152 6.5675 5.4163 7.3615 6.3664 9.0493 2.4456 7.4458 3.0140 2
2.0112 4.5484 5.8534 7.0671 -2.7147 7.3602 9.2761 4.8226 2.3686 1
-0.5101 8.0599 5.9955 9.5803 3.1846 3.7372 8.3230 0.1334 6.0450 1
3.5835 7.9312 4.2001 9.5647 4.7008 6.4978 6.7640 -0.1026 4.8865 2
3.0835 7.1422 3.8819 10.1192 3.2516 4.0845 8.1268 0.5722 2.9455 1
5.2279 7.2115 8.7920 8.9901 2.1816 7.0159 5.9501 0.8829 0.7352 2
-0.2787 6.8805 6.5606 7.7074 4.0005 8.3783 8.2645 2.6896 1.8961 2
2.3302 5.7763 6.6880 10.8574 -1.2869 7.8813 7.6880 1.2102 3.4629 1
-1.5603 6.7613 5.3604 10.5926 2.5175 10.1755 5.5392 0.7205 7.6088 1
3.5121 8.3540 4.6823 9.4088 2.1138 7.9113 3.7763 2.3750 1.0770 1
2.9435 5.8269 4.3209 7.0565 8.6255 4.5986 -0.2050 3.2473 6.9839 1
1.1235 6.5721 6.5581 9.9092 3.7750 10.9848 4.9192 2.0819 -0.1027 2
3.2337 6.9239 2.3322 9.3462 2.2915 7.9619 4.0412 3.1459 6.5283 2
2.0221 4.8242 6.9440 8.5656 -0.8936 8.0032 9.3866 4.8028 -0.3550 2
2.2302 7.1902 5.6570 9.0826 0.3969 8.1803 9.5016 1.9871 3.4357 1
3.3003 6.3245 3.5346 9.7007 2.7140 5.4635 5.6826 0.5091 -0.4702 2
2.0007 7.9630 7.6875 9.5318 5.0337 5.1431 2.7303 1.8346 5.2290 2
4.0884 6.7491 8.8642 9.2905 2.7021 4.2653 2.9706 0.0054 4.4757 2
-2.9608 6.0595 2.9396 9.8419 2.8674 9.6468 9.8385 1.1305 3.4775 1
0.9587 6.8165 4.9343 9.1395 -1.1619 7.7496 7.6277 9.1385 0.5757 1
0.3438 7.3412 6.5308 8.9710 3.5226 6.6189 7.0321 6.3956 3.3483 1
3.8550 7.8196 8.0781 9.4372 4.4350 8.0671 4.4441 4.5358 -1.7248 2
3.8238 7.3746 4.7066 9.5312 0.7527 5.6365 7.6632 1.5378 5.2677 2
0.4229 5.8362 5.4605 8.6353 5.4292 7.5617 4.0339 3.6545 6.3771 2
