"X1" "X2" "X3" "X4" "grupos"
3.5114 1.7169 3.3255 4.5975 1
7.5245 5.4469 1.553 4.3176 1
4.6411 -1.3351 -0.6715 1.494 1
4.0939 3.7453 2.1351 1.7487 1
-2.624 6.3909 3.0232 0.7613 1
2.8502 5.2298 -0.4304 0.4463 1
6.5541 2.4226 -2.1595 1.0205 1
3.399 3.3158 -1.5729 3.9993 1
7.1429 1.2661 -0.7743 -1.7027 1
6.3418 -0.2984 0.1174 0.5951 1
5.1322 2.9536 -0.6372 1.1853 1
3.5074 1.5341 3.2775 1.1307 1
4.3417 3.6523 1.0572 -1.8165 2
2.3423 3.1403 1.9584 -0.9273 2
1.7403 1.2405 5.2965 1.5254 2
4.6336 4.8631 0.9134 2.1407 1
2.9046 0.0469 0.2861 -2.1311 1
4.0812 2.8476 2.561 2.6943 2
1.777 -0.9217 4.5942 5.7306 1
2.6165 6.7106 -0.456 3.5235 1
1.3444 4.4531 5.4294 -1.0064 1
3.618 4.4787 3.8151 -1.6838 2
5.8744 -0.5852 0.9259 -0.3017 2
4.777 4.7446 6.6308 3.5392 1
8.4546 -2.5347 3.4504 -2.9721 2
5.8704 -0.0124 -1.3861 4.0477 2
2.0042 4.4202 1.4157 6.4899 1
5.9121 -1.3141 3.9993 1.3148 2
4.0976 9.5607 0.2794 4.9315 2
6.5705 4.9737 0.1222 -1.001 1
3.972 -1.5627 3.9679 1.3701 2
2.5529 3.8398 5.4912 -2.7205 1
6.8853 0.2879 2.1749 0.8428 2
3.2528 2.4332 2.992 2.3228 2
4.3895 -0.2999 2.3801 2.367 1
3.5716 1.5286 4.8099 5.5082 2
0.1258 4.0835 1.2258 -3.1224 2
5.7852 -1.6291 1.0319 -1.3478 2
6.999 2.2932 -0.2967 -0.5026 1
1.1102 3.3952 2.7081 -0.4234 1
3.0758 2.3846 2.9849 -0.1903 1
-1.5564 1.518 6.5195 2.4767 2
5.3019 2.011 1.8018 7.2106 1
1.327 1.5138 7.0286 2.2355 1
2.9202 4.7196 3.2309 0.603 2
4.6146 7.0953 1.9426 -1.6853 1
-0.3238 2.6979 2.7311 -0.6042 1
1.948 7.0348 1.94 4.2173 2
3.168 4.8292 -2.556 -1.3438 2
5.9016 2.6594 2.0681 2.5759 2
3.523 2.5741 2.196 -2.5618 2
