"X1"	"X2"	"X3"	"Grupos"
9.6838	8.7045	4.0509	1
5.9703	4.5724	8.3056	1
1.5094	6.3666	7.5676	1
1.5706	3.5433	8.7762	1
3.7626	2.6972	3.7973	1
4.3004	4.548	3.5908	1
6.5401	6.1067	3.091	1
-1.9689	-0.3808	0.0305	1
3.7782	4.3348	5.1631	1
5.248	4.9762	5.4157	1
8.4586	3.6272	4.2998	1
5.5979	4.3923	4.6067	1
7.675	7.6057	2.4293	1
4.2414	4.4805	4.8341	1
1.4854	5.808	10.6845	1
8.0296	7.4687	4.859	1
6.0364	6.6319	4.3452	1
4.5527	5.2784	4.033	1
2.8674	5.7101	7.3078	1
2.6632	6.1017	5.8248	1
0.689	4.3251	6.6518	1
4.8895	3.8912	2.8827	1
8.6759	6.8752	3.8975	1
3.6536	3.5741	7.4261	1
6.2296	3.9793	0.3972	1
1.7184	3.6811	9.0313	1
3.7706	5.769	6.5251	1
3.9408	7.0679	6.2726	2
5.623	3.5233	1.7903	2
8.0248	6.4091	9.4312	2
9.7212	4.5907	0.6759	2
1.8562	6.9795	9.0009	2
4.729	8.0968	11.4573	2
5.9292	5.3914	5.8888	2
3.174	2.9022	2.5904	2
11.1373	9.2089	6.0745	2
4.7946	3.5642	0.2676	2
5.9691	3.5416	4.1705	2
5.9148	6.8195	5.0346	2
4.8822	1.8882	1.9858	2
2.225	3.488	1.5881	2
0.3157	1.0273	4.4328	2
4.4866	7.8958	11.2036	2
4.4181	8.4307	7.064	2
6.3604	7.041	4.372	2
3.3507	4.976	5.6315	2
8.0759	5.0923	6.4912	2
2.0956	1.1307	3.683	2
4.1116	3.7371	3.4216	2
7.7867	7.3517	5.32	2
4.2689	6.4458	5.7692	2
8.619	6.8388	0.6766	2
1.9093	3.1246	4.8629	2
2.3008	1.7317	5.0542	2
1.9685	4.5875	4.3195	2
7.3094	5.2909	1.6155	3
3.173	5.8467	6.5191	3
7.6874	6.7388	3.5418	3
4.69	3.1038	1.7947	3
3.9538	2.8838	2.434	3
3.2377	2.6145	4.1885	3
9.5001	3.7566	-0.1823	3
7.3949	6.6327	7.3166	3
1.2228	3.5317	4.6005	3
3.8456	5.0089	3.9979	3
5.331	3.3723	6.7695	3
6.5301	3.2197	3.2009	3
5.3041	5.8788	5.6503	3
6.7513	6.082	2.4615	3
5.5045	6.4919	3.3515	3
6.769	5.1218	2.2716	3
6.42	4.0332	6.3312	3
5.2011	4.7683	3.0988	3
5.2271	2.0898	0.2459	3
5.0208	7.3966	7.3414	3
4.5732	4.4744	3.7012	3
0.9497	4.2807	2.5957	3
6.0521	4.1108	8.8079	3
7.5906	8.2649	8.5296	3
9.3541	7.2692	3.1024	3
5.1702	6.2667	9.7636	3
6.1861	2.0206	2.344	3
5.8485	4.7828	5.9503	3
7.1257	5.9044	7.203	3
7.5803	7.0173	5.492	3
4.309	5.6758	7.0822	3
7.0683	7.8079	6.03	3
6.0361	3.9407	4.3605	3
5.1104	5.2257	3.5701	3
4.7811	7.7509	8.8813	3
5.5823	6.1737	3.4152	3
6.7964	7.9604	6.036	3
7.5895	7.79	5.4629	3
7.7519	5.2062	4.0484	3
3.6847	3.0928	5.2458	3
5.4857	6.2888	3.2312	3
4.9054	4.0601	1.4129	3
7.8864	6.0692	6.445	3
4.1332	4.5396	6.7288	3
4.4509	7.6449	8.2376	3
