Año;X;Mes;Producción;Despachos Nacionales;Anual ;Año corrido;Doce meses;Anual ;Año corrido;Doce meses
2009;;Abr;757.117;678.661;(-);(-);(-);(-);(-);(-)
2009;;May;816.612;695.755;(-);(-);(-);(-);(-);(-)
2009;;Jun;734.996;635.399;(-);(-);(-);(-);(-);(-)
2009;;Jul;767.767;741.963;(-);(-);(-);(-);(-);(-)
2009;;Ago;790.129;700.399;(-);(-);(-);(-);(-);(-)
2009;;Sep;751.160;725.187;(-);(-);(-);(-);(-);(-)
2009;;Oct;750.262;731.458;(-);(-);(-);(-);(-);(-)
2009;;Nov;800.924;716.675;(-);(-);(-);(-);(-);(-)
2009;;Dic;804.175;701.445;(-);(-);(-);(-);(-);(-)
2010;;Ene;692.439;661.697;(-);(-);(-);(-);(-);(-)
2010;;Feb;741.123;711.608;(-);(-);(-);(-);(-);(-)
2010;;Mar;813.412;761.517;(-);(-);(-);(-);(-);(-)
2010;;Abr;712.880;686.064;-5,8;(-);(-);1,1;(-);(-)
2010;;May;813.100;755.619;-0,4;(-);(-);8,6;(-);(-)
2010;;Jun;735.585;708.922;0,1;(-);(-);11,6;(-);(-)
2010;;Jul;815.345;754.068;6,2;(-);(-);1,6;(-);(-)
2010;;Ago;855.570;749.921;8,3;(-);(-);7,1;(-);(-)
2010;;Sep;784.709;777.479;4,5;(-);(-);7,2;(-);(-)
2010;;Oct;834.039;795.135;11,2;(-);(-);8,7;(-);(-)
2010;;Nov;812.574;799.131;1,5;(-);(-);11,5;(-);(-)
2010;;Dic;894.003;760.220;11,2;(-);(-);8,4;(-);(-)
2011;;Ene;760.747;736.901;9,9;9,9;(-);11,4;11,4;(-)
2011;;Feb;754.075;726.419;1,7;5,7;(-);2,1;6,6;(-)
2011;;Mar;1.006.055;914.687;23,7;12,2;6,1;20,1;11,4;8,3
2011;;Abr;850.575;776.826;19,3;13,9;8,1;13,2;11,8;9,3
2011;;May;933.348;870.178;14,8;14,1;9,4;15,2;12,5;9,9
2011;;Jun;863.386;807.107;17,4;14,6;10,8;13,8;12,8;10,1
2011;;Jul;927.677;851.729;13,8;14,5;11,5;13,0;12,8;11,0
2011;;Ago;937.922;916.551;9,6;13,8;11,6;22,2;14,0;12,3
2011;;Sep;937.029;918.049;19,4;14,5;12,8;18,1;14,5;13,3
2011;;Oct;948.855;887.709;13,8;14,4;13,0;11,6;14,2;13,5
2011;;Nov;897.775;885.830;10,5;14,0;13,8;10,8;13,9;13,4
2011;;Dic;961.094;883.854;7,5;13,4;13,4;16,3;14,1;14,1
2012;;Ene;868.474;823.284;14,2;14,2;13,7;11,7;11,7;14,1
2012;;Feb;865.408;846.615;14,8;14,5;14,7;16,5;14,1;15,2
2012;;Mar;998.847;950.453;-0,7;8,4;12,4;3,9;10,2;13,7
2012;;Abr;852.138;789.542;0,2;6,3;10,8;1,6;8,1;12,7
2012;;May;919.675;904.691;-1,5;4,6;9,4;4,0;7,2;11,7
2012;;Jun;906.243;879.219;5,0;4,7;8,4;8,9;7,5;11,3
2012;;Jul;910.743;879.633;-1,8;3,7;7,1;3,3;6,9;10,5
2012;;Ago;942.864;906.463;0,5;3,3;6,3;-1,1;5,7;8,5
2012;;Sep;894.974;862.747;-4,5;2,4;4,3;-6,0;4,3;6,4
2012;;Oct;885.860;906.791;-6,6;1,4;2,6;2,1;4,1;5,6
2012;;Nov;931.125;915.070;3,7;1,6;2,1;3,3;4,0;4,9
2012;;Dic;948.435;831.485;-1,3;1,4;1,4;-5,9;3,1;3,1
2013;;Ene;803.846;797.142;-7,4;-7,4;-0,2;-3,2;-3,2;2,0
2013;;Feb;823.731;826.921;-4,8;-6,1;-1,6;-2,3;-2,7;0,7
2013;;Mar;930.060;808.108;-6,9;-6,4;-2,2;-15,0;-7,2;-1,1
2013;;Abr;888.046;917.850;4,2;-3,9;-1,9;16,3;-1,8;0,1
2013;;May;929.099;901.646;1,0;-2,9;-1,7;-0,3;-1,5;-0,3
2013;;Jun;879.965;864.811;-2,9;-2,9;-2,3;-1,6;-1,5;-1,1
2013;;Jul;966.824;980.477;6,2;-1,6;-1,6;11,5;0,4;-0,4
2013;;Ago;941.125;870.423;-0,2;-1,4;-1,7;-4,0;-0,2;-0,7
2013;;Sep;1.002.957;981.343;12,1;0,1;-0,3;13,7;1,4;1,0
2013;;Oct;1.048.557;1.032.773;18,4;1,9;1,7;13,9;2,7;2,0
2013;;Nov;1.020.409;978.662;9,6;2,6;2,2;6,9;3,1;2,3
2013;;Dic;1.017.314;905.881;7,3;3,0;3,0;8,9;3,5;3,5
2014;;Ene;821.446;810.403;2,2;2,2;3,8;1,7;1,7;3,9
2014;;Feb;908.543;928.329;10,3;6,3;5,0;12,3;7,1;5,1
2014;;Mar;1.089.340;1.041.472;17,1;10,2;7,1;28,9;14,3;8,8
2014;;Abr;1.028.890;956.972;15,9;11,7;8,1;4,3;11,6;7,8
2014;;May;1.074.108;1.034.413;15,6;12,5;9,3;14,7;12,2;9,1
2014;;Jun;986.800;918.642;12,1;12,5;10,6;6,2;11,2;9,8
2014;;Jul;1.081.296;1.059.515;11,8;12,4;11,0;8,1;10,7;9,5
2014;;Ago;1.068.934;1.020.250;13,6;12,5;12,2;17,2;11,5;11,3
2014;;Sep;1.071.903;1.085.843;6,9;11,8;11,8;10,6;11,4;11,0
2014;;Oct;1.074.164;1.089.667;2,4;10,8;10,4;5,5;10,7;10,3
2014;;Nov;1.069.629;1.040.587;4,8;10,2;9,9;6,3;10,3;10,2
2014;;Dic;1.127.320;984.140;10,8;10,2;10,2;8,6;10,2;10,2
2015;;Ene;899.519;927.848;9,5;9,5;10,7;14,5;14,5;11,1
2015;;Feb;1.034.033;986.176;13,8;11,8;11,0;6,2;10,1;10,6
2015;;Mar;1.098.526;1.079.949;0,8;7,5;9,6;3,7;7,7;8,6
2015;;Abr;1.056.734;999.412;2,7;6,3;8,5;4,4;6,9;8,6
2015;;May;1.128.654;1.061.957;5,1;6,0;7,6;2,7;5,9;7,6
2015;;Jun;1.023.577;1.012.090;3,7;5,6;7,0;10,2;6,6;7,9
2015;;Jul;1.108.864;1.152.372;2,5;5,1;6,2;8,8;7,0;8,0
2015;;Ago;1.139.186;1.108.118;6,6;5,3;5,6;8,6;7,2;7,4
2015;;Sep;1.125.938;1.142.761;5,0;5,3;5,5;5,2;6,9;6,9
2015;;Oct;1.176.890;1.161.601;9,6;5,7;6,1;6,6;6,9;7,0
2015;;Nov;1.045.136;1.067.607;-2,3;5,0;5,5;2,6;6,5;6,7
2015;;Dic;1.209.660;1.106.889;7,3;5,2;5,2;12,5;7,0;7,0
2016;;Ene;968.001;939.139;7,6;7,6;5,1;1,2;1,2;6,0
2016;;Feb;1.076.538;1.045.944;4,1;5,7;4,4;6,1;3,7;6,0
2016;;Mar;1.025.163;1.007.468;-6,7;1,2;3,7;-6,7;0,0;5,1
2016;;Abr;1.108.543;1.058.103;4,9;2,2;3,9;5,9;1,4;5,2
2016;;May;1.054.354;1.005.411;-6,6;0,3;2,9;-5,3;0,0;4,5
2016;;Jun;1.012.287;997.177;-1,1;0,1;2,5;-1,5;-0,2;3,6
2016;;Jul;912.684;924.988;-17,7;-2,6;0,7;-19,7;-3,3;1,0
2016;;Ago;1.130.482;1.089.618;-0,8;-2,4;0,1;-1,7;-3,1;0,1
2016;;Sep;1.023.568;1.015.052;-9,1;-3,2;-1,1;-11,2;-4,1;-1,3
2016;;Oct;1.076.105;993.667;-8,6;-3,7;-2,7;-14,5;-5,2;-3,2
2016;;Nov;1.009.009;1.017.491;-3,5;-3,7;-2,8;-4,7;-5,2;-3,8
2016;;Dic;1.098.666;1.006.879;-9,2;-4,2;-4,2;-9,0;-5,5;-5,5
2017;;Ene;897.064;913.190;-7,3;-7,3;-5,3;-2,8;-2,8;-5,8
2017;;Feb;1.025.705;1.007.968;-4,7;-6,0;-6,0;-3,6;-3,2;-6,5
2017;;Mar;1.099.920;1.083.268;7,3;-1,5;-4,9;7,5;0,4;-5,4
2017;;Abr;976.914;900.005;-11,9;-4,3;-6,2;-14,9;-3,6;-7,1
2017;;May;1.021.787;999.046;-3,1;-4,0;-6,0;-0,6;-3,0;-6,7
2017;;Jun;1.006.871;983.520;-0,5;-3,5;-5,9;-1,4;-2,7;-6,7
2017;;Jul;1.079.282;1.041.468;18,3;-0,7;-3,2;12,6;-0,7;-4,1
2017;;Ago;1.034.804;1.033.008;-8,5;-1,8;-3,9;-5,2;-1,3;-4,4
2017;;Sep;1.025.617;1.022.836;0,2;-1,5;-3,1;0,8;-1,1;-3,4
2017;;Oct;1.081.553;1.029.659;0,5;-1,3;-2,3;3,6;-0,6;-1,7
2017;;Nov;1.028.966;1.021.277;2,0;-1,0;-1,8;0,4;-0,5;-1,3
2017;;Dic;1.020.362;948.589;-7,1;-1,6;-1,6;-5,8;-1,0;-1,0
2018;;Ene;906.920;909.396;1,1;1,1;-0,9;-0,4;-0,4;-0,8
2018;;Feb;955.449;960.500;-6,8;-3,1;-1,1;-4,7;-2,7;-0,9
2018;;Mar;1.066.143;978.880;-3,1;-3,1;-2,0;-9,6;-5,2;-2,3
2018;;Abr;1.034.778;1.030.820;5,9;-0,9;-0,4;14,5;-0,6;0,0
2018;;May;1.007.111;984.012;-1,4;-1,0;-0,3;-1,5;-0,8;0,0
2018;;Jun;995.956;943.219;-1,1;-1,0;-0,3;-4,1;-1,4;-0,3
2018;;Jul;1.021.558;990.012;-5,3;-1,7;-2,1;-4,9;-1,9;-1,7
2018;;Ago;1.097.724;1.061.280;6,1;-0,7;-0,9;2,7;-1,3;-1,0
2018;;Sep;1.083.427;1.030.848;5,6;0,0;-0,4;0,8;-1,1;-0,9
2018;;Oct;1.107.128;1.083.220;2,4;0,3;-0,3;5,2;-0,4;-0,8
2018;;Nov;1.094.298;1.064.520;6,3;0,8;0,1;4,2;0,0;-0,5
2018;;Dic;1.089.381;973.384;6,8;1,3;1,3;2,6;0,2;0,2
2019;;Ene;928.829;917.158;2,4;2,4;1,4;0,9;0,9;0,3
2019;;Feb;993.333;972.511;4,0;3,2;2,3;1,3;1,1;0,8
2019;;Mar;1.147.660;1.035.824;7,6;4,8;3,2;5,8;2,7;2,2
2019;;Abr;971.013;991.120;-6,2;2,0;2,2;-3,9;1,0;0,7
2019;;May;1.119.227;1.054.963;11,1;3,8;3,3;7,2;2,2;1,5
2019;;Jun;1.025.805;979.305;3,0;3,7;3,6;3,8;2,5;2,1
2019;;Jul;1.118.127;1.113.128;9,5;4,5;4,9;12,4;3,9;3,6
2019;;Ago;1.175.005;1.099.301;7,0;4,9;5,0;3,6;3,9;3,7
2019;;Sep;1.093.948;1.078.412;1,0;4,4;4,6;4,6;4,0;4,0
2019;;Oct;1.135.814;1.110.886;2,6;4,2;4,6;2,6;3,8;3,8
2019;;Nov;1.112.915;1.083.303;1,7;4,0;4,2;1,8;3,6;3,5
2019;;Dic;1.191.118;1.079.407;9,3;4,4;4,4;10,9;4,2;4,2
2020;;Ene;1.045.241;994.701;12,5;12,5;5,2;8,5;8,5;4,8
2020;;Feb;1.042.244;1.024.533;4,9;8,6;5,3;5,3;6,9;5,1
2020;;Mar;850.164;739.689;-25,9;-4,3;2,2;-28,6;-5,7;2,2
2020;;Abr;198.925;242.414;-79,5;-22,4;-3,4;-75,5;-23,4;-3,7
2020;;May;778.730;705.921;-30,4;-24,1;-7,0;-33,1;-25,4;-7,2
2020;;Jun;977.660;904.955;-4,7;-20,9;-7,6;-7,6;-22,5;-8,0
2020;;Jul;1.131.331;1.093.059;1,2;-17,5;-8,2;-1,8;-19,2;-9,1
2020;;Ago;1.095.591;1.052.074;-6,8;-16,0;-9,3;-4,3;-17,2;-9,8
2020;;Sep;1.148.007;1.131.203;4,9;-13,6;-9,0;4,9;-14,6;-9,7
2020;;Oct;1.190.414;1.169.113;4,8;-11,7;-8,8;5,2;-12,5;-9,4
2020;;Nov;1.213.984;1.121.991;9,1;-9,7;-8,1;3,6;-11,0;-9,3
2020;;Dic;1.176.277;1.054.317;-1,2;-8,9;-8,9;-2,3;-10,2;-10,2
2021;;Ene;1.034.345;989.097;-1,0;-1,0;-9,8;-0,6;-0,6;-10,8
2021;;Feb;1.139.863;1.079.242;9,4;4,2;-9,4;5,3;2,4;-10,8
2021;;Mar;1.200.339;1.189.014;41,2;14,9;-4,6;60,7;18,1;-5,0
2021;;Abr;1.135.882;1.050.824;471,0;43,8;9,2;333,5;43,5;8,1
2021;;May;880.396;815.891;13,1;37,7;13,2;15,6;38,2;12,4
2021;;Jun;1.108.427;1.071.847;13,4;32,8;14,8;18,4;34,3;14,7
2021;;Jul;1.201.722;1.131.976;6,2;27,8;15,3;3,6;28,4;15,2
2021;;Ago;1.163.339;1.097.753;6,2;24,5;16,6;4,3;24,7;16,1
2021;;Sep;1.229.150;1.163.919;7,1;22,1;16,8;2,9;21,6;15,9
2021;;Oct;1.234.918;1.150.044;3,7;19,8;16,6;-1,6;18,6;15,1
2021;;Nov;1.201.227;1.166.822;-1,1;17,4;15,5;4,0;17,0;15,1
2021;;Dic;1.267.497;1.134.856;7,8;16,4;16,4;7,6;16,1;16,1
2022;;Ene;1.040.161;963.889;0,6;0,6;16,6;-2,5;-2,5;15,9
2022;;Feb;1.133.914;1.106.900;-0,5;0,0;15,6;2,6;0,1;15,6
2022;;Mar;1.341.585;1.257.125;11,8;4,2;13,5;5,7;2,2;11,8
2022;;Abr;1.214.954;1.089.207;7,0;4,9;6,0;3,7;2,5;4,9
2022;;May;1.251.173;1.103.450;42,1;11,0;8,0;35,2;7,7;6,2
2022;;Jun;1.189.315;1.116.812;7,3;10,3;7,5;4,2;7,1;5,2
2022;;Jul;1.202.539;1.124.720;0,1;8,7;7,0;-0,6;5,9;4,8
2022;;Ago;1.233.964;1.189.913;6,1;8,4;7,0;8,4;6,2;5,2
2022;;Sep;1.279.916;1.188.171;4,1;7,9;6,7;2,1;5,7;5,1
