MASA ESTATURA GASTO SEXO CIUDAD
79.8 183.8 2000 Mujer BOGOTA
55.5 170.1 9757.3 Mujer ARMENIA
47.4 174 43010.6 Mujer BARRANQUILLA
74.4 173 2000 Mujer CARTAGENA
51.5 169.7 13841.5 Hombre MEDELLIN
61.9 176.2 1334.3 Mujer CALI
49.5 170.1 47454.8 Hombre MEDELLIN
54.4 185.9 2000 Mujer BARRANQUILLA
67.9 163.9 2000 Hombre CALI
57.5 175.4 2000 Mujer BOGOTA
59.3 179.6 10037.9 Mujer CALI
69.4 164.7 26979.5 Hombre CALI
62.5 165.3 2000 Hombre BOGOTA
55.4 176.4 63562.2 Hombre ARMENIA
76.5 169.1 2000 Mujer CALI
66.1 163 2000 Hombre CALI
65.4 181.7 136179.6 Hombre ARMENIA
53.6 157.7 2000 Hombre MEDELLIN
64.9 166.9 62740.3 Mujer BOGOTA
69.6 172.2 54094.4 Hombre MEDELLIN
69.6 151.3 23932.5 Mujer ARMENIA
75.4 176.6 2000 Mujer BARRANQUILLA
51.6 175.9 84183.8 Hombre CALI
66.7 174.6 18443.3 Hombre MEDELLIN
45 162.4 42499.8 Mujer ARMENIA
78.5 180.2 108324.4 Hombre ARMENIA
68.9 175.1 134952.7 Mujer BOGOTA
76.8 175.5 2000 Hombre BOGOTA
55.6 184.5 121190 Mujer BOGOTA
63.6 168.4 98832.6 Hombre ARMENIA
45 185.7 43477.8 Hombre MEDELLIN
55.7 167.3 74573.3 Hombre MEDELLIN
60.3 178.3 101408 Hombre ARMENIA
68.2 174.3 2000 Hombre MEDELLIN
55.4 169.2 1177 Hombre CALI
65.6 165.9 2000 Mujer BARRANQUILLA
60.6 167.8 2000 Mujer BARRANQUILLA
45 161 126457 Mujer ARMENIA
71.3 172.4 158762.6 Hombre BOGOTA
60 173.9 2000 Mujer MEDELLIN
60.3 188.4 5465.3 Hombre BARRANQUILLA
70.9 163.1 2000 Mujer BARRANQUILLA
45 169.5 6784.6 Mujer CARTAGENA
51.6 161.5 19253.5 Mujer BOGOTA
54.7 163.5 72216.2 Hombre BARRANQUILLA
45 163 42293.1 Mujer BARRANQUILLA
72.8 167.4 2000 Hombre CARTAGENA
52.3 189.7 70875.4 Mujer MEDELLIN
63.9 179.2 20462.8 Hombre ARMENIA
59.3 177.3 80302.8 Hombre CALI
69.8 162.7 47353.1 Hombre CALI
59.3 187.1 93585.2 Hombre BOGOTA
66.6 188.2 35640.7 Hombre BARRANQUILLA
55.5 162.4 132567.5 Hombre ARMENIA
58.2 171.9 44200.9 Hombre CARTAGENA
45 172.3 59434.1 Mujer BARRANQUILLA
45 150.8 114978.6 Mujer MEDELLIN
