"Y" "X1" "X2" "X3" "X4"
46 68 75 10 63
43 55 75 10 57
53 46 36 58 76
37 63 41 15 64
63 67 45 63 71
73 90 64 67 74
34 45 71 14 71
65 53 42 58 77
65 89 65 63 59
73 86 46 45 83
53 47 31 67 86
40 61 64 17 54
51 65 40 11 60
48 47 46 32 56
48 47 55 28 76
37 50 78 23 86
73 78 33 65 59
40 45 70 43 73
71 83 56 52 45
68 82 37 24 58
46 71 44 12 81
56 77 65 55 64
34 44 73 52 79
60 79 56 23 70
51 89 48 10 83
50 61 64 9 69
56 84 51 33 69
69 70 34 47 73
45 57 34 8 46
40 47 52 45 71
48 77 83 39 80
77 89 77 66 49
62 82 40 30 87
58 75 75 47 76
62 68 33 46 64
44 59 41 40 76
63 83 79 21 51
54 53 32 63 76
68 67 42 65 64
39 46 67 62 67
46 47 61 46 78
63 85 43 35 77
60 87 57 56 64
42 54 63 55 69
70 71 68 63 84
49 50 50 38 45
50 42 33 55 44
51 63 32 19 65
62 84 33 36 58
46 57 80 29 68
