"Y" "X1" "X2" "X3" "X4"
50 71 49 19 53
60 72 51 64 61
58 62 61 59 70
71 83 71 49 75
44 41 75 67 44
73 88 40 60 79
58 53 83 31 52
65 89 65 63 59
62 82 40 30 87
44 59 41 40 76
55 66 36 46 45
48 47 55 28 76
49 69 78 26 69
20 37 78 13 62
44 50 57 66 59
59 68 72 50 73
54 54 74 62 46
60 66 52 49 82
60 85 48 34 45
37 46 78 30 55
37 64 33 11 86
25 61 65 19 87
51 50 69 31 45
39 48 47 37 74
51 41 43 47 51
46 78 82 11 71
34 44 73 52 79
45 61 71 40 84
57 65 73 33 55
37 57 60 37 83
43 54 59 18 55
29 45 55 10 76
26 49 71 14 83
73 90 64 67 74
40 48 39 12 43
60 79 56 23 70
52 71 44 29 74
40 45 70 43 73
50 56 72 66 50
64 70 42 29 76
69 72 59 65 87
58 85 53 14 67
32 40 49 38 47
61 73 80 38 51
41 58 78 25 45
16 47 33 9 56
65 86 52 29 58
50 76 52 8 68
61 85 32 42 68
50 62 78 10 58
