"Y" "X1" "X2" "X3"
1112 22548 1 "LUN"
399 19075 1 "MAR"
103 15425 0 "MIE"
502 19859 0 "JUE"
181 16774 0 "VIE"
280 18223 0 "SAB"
158 17810 0 "DOM"
1380 23312 0 "LUN"
216 17447 1 "MAR"
301 18159 1 "MIE"
1071 22570 0 "JUE"
150 16011 1 "VIE"
2147 24898 0 "SAB"
813 22872 1 "DOM"
741 21295 0 "LUN"
1332 23344 0 "MAR"
161 16205 1 "MIE"
601 20441 0 "JUE"
347 18589 1 "VIE"
2067 24832 0 "SAB"
858 23105 0 "DOM"
789 21644 0 "LUN"
420 19336 0 "MAR"
195 17096 0 "MIE"
883 21758 0 "JUE"
1302 23147 0 "VIE"
1600 24003 1 "SAB"
165 17863 0 "DOM"
135 15528 0 "LUN"
216 17354 1 "MAR"
134 15911 0 "MIE"
1264 23132 1 "JUE"
1072 22501 0 "VIE"
585 20787 0 "SAB"
142 17162 0 "DOM"
752 21618 0 "LUN"
194 16982 0 "MAR"
496 20283 0 "MIE"
506 20042 0 "JUE"
1705 24065 0 "VIE"
406 19556 0 "SAB"
533 21730 0 "DOM"
975 22209 0 "LUN"
2036 24623 0 "MAR"
305 18458 0 "MIE"
763 21282 0 "JUE"
656 20860 0 "VIE"
724 21745 0 "SAB"
1698 25343 0 "DOM"
478 19794 0 "LUN"
305 18329 1 "MAR"
1044 22443 0 "MIE"
596 20794 0 "JUE"
1369 23358 0 "VIE"
597 20914 0 "SAB"
337 19644 0 "DOM"
594 20538 0 "LUN"
1613 23806 0 "MAR"
1220 22858 0 "MIE"
497 19823 0 "JUE"
191 16907 1 "VIE"
208 17568 0 "SAB"
1503 24942 0 "DOM"
1879 24362 0 "LUN"
329 18918 0 "MAR"
510 20208 1 "MIE"
114 15822 0 "JUE"
253 17987 0 "VIE"
510 20437 1 "SAB"
530 21294 0 "DOM"
106 15140 1 "LUN"
381 19267 1 "MAR"
212 17409 0 "MIE"
1769 24197 0 "JUE"
777 21360 0 "VIE"
204 17651 0 "SAB"
511 21421 0 "DOM"
420 19475 0 "LUN"
839 21856 0 "MAR"
349 19242 0 "MIE"
243 17731 0 "JUE"
265 18153 1 "VIE"
151 16276 0 "SAB"
117 16469 0 "DOM"
884 21968 0 "LUN"
585 20540 0 "MAR"
837 21608 1 "MIE"
142 15810 0 "JUE"
973 22138 0 "VIE"
2218 25129 0 "SAB"
100 15578 1 "DOM"
772 21377 0 "LUN"
2004 24506 1 "MAR"
874 21827 0 "MIE"
174 16657 0 "JUE"
190 16594 0 "VIE"
1332 23386 0 "SAB"
177 18041 0 "DOM"
748 21461 0 "LUN"
1341 23211 0 "MAR"
1020 22429 0 "MIE"
113 15067 0 "JUE"
2562 25257 0 "VIE"
505 20295 0 "SAB"
1244 24332 0 "DOM"
653 20786 0 "LUN"
619 20561 1 "MAR"
241 17511 0 "MIE"
760 21403 0 "JUE"
247 17700 1 "VIE"
180 17028 0 "SAB"
230 18464 0 "DOM"
241 17372 1 "LUN"
2674 25405 1 "MAR"
204 17154 1 "MIE"
1309 23200 1 "JUE"
2002 24645 0 "VIE"
207 18050 0 "SAB"
181 17605 0 "DOM"
2089 24766 0 "LUN"
748 21390 0 "MAR"
531 20193 0 "MIE"
1099 22535 0 "JUE"
1243 22925 0 "VIE"
352 18962 1 "SAB"
102 16222 1 "DOM"
580 20618 0 "LUN"
1010 22316 0 "MAR"
1402 23374 1 "MIE"
830 21611 0 "JUE"
683 21068 0 "VIE"
98 15372 0 "SAB"
1423 24741 0 "DOM"
844 21744 0 "LUN"
1054 22363 1 "MAR"
1348 23376 0 "MIE"
715 21079 0 "JUE"
179 16780 0 "VIE"
1078 22832 0 "SAB"
1577 24982 0 "DOM"
155 16420 0 "LUN"
2032 24554 1 "MAR"
186 16819 0 "MIE"
246 17637 0 "JUE"
877 21742 1 "VIE"
144 16309 0 "SAB"
445 21069 0 "DOM"
2158 24757 0 "LUN"
1365 23540 1 "MAR"
2255 24952 0 "MIE"
1744 24088 0 "JUE"
200 17316 1 "VIE"
965 22261 0 "SAB"
126 16924 0 "DOM"
1370 23392 0 "LUN"
355 18938 1 "MAR"
847 21621 0 "MIE"
276 17762 0 "JUE"
1320 23039 0 "VIE"
707 21458 0 "SAB"
1064 23694 0 "DOM"
1480 23557 0 "LUN"
1814 24179 0 "MAR"
1132 22579 1 "MIE"
310 18686 0 "JUE"
247 17916 0 "VIE"
1105 22792 0 "SAB"
226 18882 1 "DOM"
260 17724 1 "LUN"
1958 24387 0 "MAR"
2106 24524 1 "MIE"
130 15117 1 "JUE"
139 16014 0 "VIE"
869 22082 0 "SAB"
412 20768 1 "DOM"
165 16237 0 "LUN"
1118 22608 0 "MAR"
253 17822 1 "MIE"
1838 24326 0 "JUE"
391 19249 0 "VIE"
207 17548 0 "SAB"
333 19974 0 "DOM"
167 16348 0 "LUN"
117 15381 1 "MAR"
669 20888 1 "MIE"
1010 22460 1 "JUE"
112 15274 1 "VIE"
188 17215 1 "SAB"
878 22882 1 "DOM"
153 16015 0 "LUN"
609 20578 1 "MAR"
1045 22312 0 "MIE"
432 19729 0 "JUE"
1964 24541 0 "VIE"
273 18514 0 "SAB"
157 17565 0 "DOM"
1061 22588 0 "LUN"
403 19365 0 "MAR"
1276 22978 0 "MIE"
