occurrenceID	institutionCode	collectionCode	catalogNumber	combined	SamplingDate	recordedBy	Sex	Department	Municipality	Locality	MinElevation	MaxElevation	decimalLatitude	decimalLongitude	Habitat	Order	Family	Species	SnoutVentLength	HeadWidth	MouthWidth	ForearmLength	TibiaLength	FemurLength	FootLength	FootWebbing
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0001	PUJ	MUJ	106	MUJ106	1989-06-02	Oscar Hernandez	NA	Cundinamarca	La Calera	PNN Chingaza, Sector de Piedras Gordas	3250	NA	4.75	-73.91666	Paramo	Anura	Craugastoridae	Pristimantis bogotensis	21.14	8.06	8.56	5.04	9.7	9.1	9.12	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0002	PUJ	MUJ	126	MUJ126	1989-09-16	Oscar Hernandez	NA	Cundinamarca	Fómeque	Quebrada Babilonia, Campamento Monte redondo	3000	NA	4.6	-73.76667	Paramo	Anura	Craugastoridae	Pristimantis bogotensis	22.93	9.97	9.36	5.62	11.31	10.69	10.09	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0003	PUJ	MUJ	129	MUJ129	1989-09-16	Oscar Hernandez	NA	Cundinamarca	Fómeque	Quebrada Babilonia, Campamento Monte redondo	3000	NA	4.6	-73.76667	Paramo	Anura	Craugastoridae	Pristimantis bogotensis	24.69	8.81	9.21	5.76	11.25	11.14	10.38	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0004	PUJ	MUJ	131	MUJ131	2001-10-06	Oscar Hernandez	NA	Cundinamarca	Bogotá	Humedal del salitre, atrás del Mac Donalds	2600	NA	4.6	-74.08333	Andean, Wetland	Anura	Dendrobatidae	Hyloxalus subpunctatus	23.29	7.52	7.08	5.37	10.69	10.19	11.22	Basal
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0005	PUJ	MUJ	145	MUJ145	1990-08-19	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Alrededores de la Laguna de Chingaza	3180	NA	4.6	-73.76667	Paramo	Anura	Craugastoridae	Pristimantis bogotensis	20.98	7.76	7.46	4.74	9.78	9.36	9.59	Absent
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0006	PUJ	MUJ	147	MUJ147	2001-10-06	Oscar Hernandez	NA	Cundinamarca	Bogotá	Humedal del salitre, atrás del Mac Donalds	2600	NA	4.6	-74.08333	Andean, Wetland	Anura	Dendrobatidae	Hyloxalus subpunctatus	19.58	6.44	6.73	4.73	9.02	9.68	10.55	Basal
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0007	PUJ	MUJ	148	MUJ148	1989-08-12	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Localidad la Playa	3140	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	33.91	10.57	10	7.57	12.15	14.71	13.96	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0008	PUJ	MUJ	150	MUJ150	1989-08-12	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Localidad la Playa	3140	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	41.51	10.52	11.1	8.65	14.18	15.71	15.36	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0009	PUJ	MUJ	155	MUJ155	1989-08-12	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Localidad la Playa	3140	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	30.45	9.79	9.42	7.08	11.34	12.98	12.13	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0010	PUJ	MUJ	156	MUJ156	1989-11-04	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Localidad la Playa	3150	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	30.84	9.07	8.83	8.7	11.96	11.41	13.17	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0011	PUJ	MUJ	160	MUJ160	1989-11-04	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Localidad la Playa	3150	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	31.94	9.68	9.38	7.66	12.37	12.93	13.86	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0012	PUJ	MUJ	161	MUJ161	1989-11-04	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Localidad la Playa	3150	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	32.18	9.84	9.17	7.35	11.8	10.82	12.69	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0013	PUJ	MUJ	163	MUJ163	1989-10-29	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Localidad la Playa	3140	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	44.36	11.65	11.72	9.26	16	14.19	18.1	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0014	PUJ	MUJ	164	MUJ164	1989-10-29	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Localidad la Playa	3140	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	33.46	9.61	9.5	7.25	12.28	12.33	13.77	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0015	PUJ	MUJ	165	MUJ165	1989-10-29	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza, Localidad la Playa	3140	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	44.78	11.98	11.38	10.28	14.77	17.73	18.04	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0016	PUJ	MUJ	167	MUJ167	1989-11-26	Oscar Hernandez	NA	Cundinamarca	Fómeque	Represa de Chuza- cerca al casino	2967	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	30.08	9.4	8.89	7.64	11.44	11.87	13.21	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0017	PUJ	MUJ	169	MUJ169	1989-12-12	Oscar Hernandez	NA	Cundinamarca	Fómeque	PNN Chingaza,Valle del Frailejon	3000	NA	4.6	-73.76667	Paramo; Wetland	Anura	Bufonidae	Atelopus muisca	38.46	10.97	11.16	7.99	13.67	12.77	15.24	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0018	PUJ	MUJ	170	MUJ170	2001-12-06	Oscar Hernandez	NA	Cundinamarca	Bogotá	Humedal del salitre, atrás del Mac Donalds	2600	NA	4.6	-74.08333	Andean, Wetland	Anura	Dendrobatidae	Hyloxalus subpunctatus	23.88	7.51	7.23	4.62	9.84	10.08	11.2	Basal
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0019	PUJ	MUJ	171	MUJ171	1989-12-14	Oscar Hernandez	NA	Cundinamarca	Bogotá	Humedal del salitre, atrás del Mac Donalds	2600	NA	4.6	-74.08333	Andean; Wetland	Anura	Bufonidae	Atelopus muisca	32.93	9.42	9.49	7.66	12.23	13.37	14.32	Very extensive
IAvH:GIC-LGC:PARAMO-HUMEDAL:AMPHIBIA:ESPECIMENPRESERVADO:I2D-BIO_2014_IN009:0020	PUJ	MUJ	172	MUJ172	1989-12-14	Oscar Hernandez	NA	Cundinamarca	Bogotá	Humedal del salitre, atrás del Mac Donalds	2600	NA	4.6	-74.08333	Andean; Wetland	Anura	Bufonidae	Atelopus muisca	44.28	11.17	11.29	10.43	15.15	15.96	17.88	Very extensive
