"Y" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14"
11.19162 -1.08114 9.1861 -0.0937 2.8957 1.5078 4.34157 5.2942 5.9344 11.1092 8.46643 11.1092 1.9148 5.2417 11.0799
22.60943 -1.28549 8.6449 6.1533 0.1205 3.0802 5.24621 6.8235 5.1159 13.2634 17.64208 13.2634 -2.3003 8.404 7.0935
29.7162 0.85479 6.6983 5.873 10.6547 10.0062 4.93574 3.3363 3.6772 10.0689 29.27286 10.0689 -2.7403 8.8594 5.5088
10.33344 0.80922 13.0474 8.6096 3.6979 10.2647 6.2559 11.2681 7.4279 11.2968 9.52291 11.2968 0.4165 4.73 5.6324
28.84943 -0.26611 9.3007 0.5411 11.7838 8.2244 2.88766 2.3122 2.644 8.9499 19.12384 8.9499 8.7977 9.6763 7.7176
29.63682 1.3132 3.2235 0.6024 3.2813 3.9245 4.97632 5.0332 3.606 10.6468 17.81611 10.6468 0.1442 7.1415 6.5541
18.08178 0.76981 4.3866 9.2294 3.7952 2.0471 6.57956 11.1947 -1.6168 13.1535 8.15017 13.1535 -0.8182 10.9739 5.0831
12.43179 -0.72524 12.1905 6.9655 1.9492 5.7956 5.84261 9.5609 4.294 10.1498 18.92297 10.1498 8.2022 9.3549 4.8833
15.75759 -2.01547 11.6167 0.6601 11.9657 4.9641 3.43269 10.1311 3.7486 5.7548 20.69633 5.7548 3.0576 4.0473 4.5267
25.27504 -0.59383 6.6126 0.9675 11.5498 7.9767 1.73428 8.5241 3.5862 8.8547 21.48929 8.8547 -2.7646 3.5989 1.5387
28.89895 -2.19603 13.9607 9.3697 11.4871 2.8679 1.48759 7.6782 -0.2482 11.4806 13.21746 11.4806 4.5207 6.9223 5.8059
35.84331 -1.3192 8.7471 2.7425 -1.9839 10.8889 2.06578 6.3406 -1.1885 6.4218 27.60525 6.4218 9.1319 10.652 10.8161
14.93683 -0.95834 11.7109 8.2691 8.1306 5.4284 5.5728 11.6915 3.5161 5.8146 15.06035 5.8146 -0.5502 6.7857 1.8331
15.46276 0.17307 12.692 2.6731 6.115 9.1927 2.5702 8.2323 1.7665 6.5598 18.29712 6.5598 0.3749 3.7601 11.1997
19.18386 1.61647 3.105 2.8547 11.0741 6.3084 6.72043 7.911 -2.6094 12.8499 20.84756 12.8499 -2.6653 6.4718 4.4855
23.22394 0.74592 8.802 3.443 4.6007 8.0864 2.82626 7.9474 7.2242 12.2294 19.74195 12.2294 2.2626 11.3508 5.503
13.38523 -1.54741 13.9058 4.0683 0.9005 2.761 6.68022 7.2162 -0.9459 11.9738 18.08731 11.9738 10.9335 7.4024 2.2571
31.70843 0.52882 10.1445 9.7567 9.9176 9.3995 2.77129 7.8961 6.3826 10.6303 28.88116 10.6303 -1.9386 3.973 10.611
20.26318 -0.17014 14.1561 10.0025 13.2113 9.0111 5.382 3.238 7.7089 11.2539 15.48807 11.2539 7.1643 7.3378 3.1787
47.95683 0.65409 2.932 2.4053 4.5471 5.7368 1.02907 9.7618 -1.2462 12.6592 13.49785 12.6592 3.3008 9.9899 1.2786
32.73719 0.21556 12.1277 0.2496 6.0328 5.4612 7.80771 10.3019 1.9778 13.2843 22.22043 13.2843 3.8706 2.7485 8.5129
-8.41609 1.11438 7.7645 4.1849 4.5945 4.5532 7.62355 1.6342 -0.225 7.3687 6.56265 7.3687 4.7688 10.1304 10.7005
49.93568 0.60603 4.277 4.1554 -1.7204 6.4452 1.80657 4.333 -0.8981 11.9208 19.88071 11.9208 5.7036 8.8912 5.674
39.17099 0.42219 5.0084 -1.4382 -0.4365 8.5148 2.2647 5.9559 -1.8848 5.6741 19.00532 5.6741 3.7296 4.9436 9.0778
1.78704 -1.54077 13.8055 7.1806 2.3187 7.2223 2.40484 11.5392 6.8425 9.566 8.22468 9.566 8.5315 6.8894 4.6903
14.79063 1.23579 11.1368 5.191 5.0776 11.1007 5.44324 5.4313 2.8476 12.3861 24.19059 12.3861 5.314 11.4638 2.2399
30.87536 0.58455 12.5002 0.0603 1.2173 9.2845 7.03433 4.2784 -1.0931 11.8157 21.71862 11.8157 5.2812 6.2296 8.8241
10.83166 -0.84614 14.5364 7.2174 11.3825 3.8385 6.26763 7.2321 -2.0063 5.4779 14.14997 5.4779 5.9764 8.9442 10.7025
29.77652 -0.92901 13.0155 7.0688 5.1578 6.1767 7.71332 12.0402 5.0268 13.2125 24.21426 13.2125 9.2614 4.5081 10.4295
11.9086 -1.10495 11.4321 10.4566 -0.1661 10.6384 7.99246 8.652 4.1883 6.979 19.70493 6.979 -1.8967 6.278 6.3393
22.45539 -0.38246 4.1898 0.3174 1.1114 5.7659 6.77857 10.1509 -1.2679 13.2844 15.02843 13.2844 -3.1524 10.0544 3.7445
17.31142 1.15055 14.5301 -0.0018 9.0908 6.8303 7.96189 6.4739 -2.1587 5.2417 16.28866 5.2417 8.248 8.8943 5.0733
23.81188 -0.59648 6.7838 0.3398 0.6046 9.9976 2.32297 10.7665 2.1164 12.3876 14.05989 12.3876 6.273 3.927 2.1987
16.24562 1.3281 10.8133 4.157 7.1202 4.4712 5.98938 4.1584 -1.7495 9.5527 26.78235 9.5527 11.3941 7.1142 4.8457
8.44565 -0.61033 9.3539 2.9218 8.1355 9.3609 7.48323 3.6571 0.3668 9.075 9.83108 9.075 3.2234 7.9502 8.8615
27.15464 -1.21824 10.3112 10.0684 -1.4997 9.9084 2.26696 0.8143 6.4925 11.7894 12.83451 11.7894 5.1228 4.3061 6.149
20.72169 1.63144 12.5292 4.5403 5.5459 7.0418 5.29384 10.1248 -1.9231 9.4392 14.13612 9.4392 6.5854 4.4951 6.0721
38.31232 1.72372 6.3245 1.2446 0.8366 7.1954 3.68847 2.8442 -2.9103 13.2265 24.36912 13.2265 -2.5982 11.2386 2.936
14.00777 0.62613 9.5362 0.358 10.0634 5.9848 6.37615 9.9494 2.4714 5.0858 10.11783 5.0858 4.9349 6.9231 6.6605
27.56035 1.5126 4.974 3.8442 9.4821 4.5217 1.82314 11.7266 -1.6898 7.005 21.32153 7.005 5.3898 7.1318 6.4972
26.19512 -2.17746 3.1091 3.5898 12.3991 7.1134 7.92515 1.0054 -2.6902 10.787 24.26347 10.787 -0.5022 7.4625 7.2262
26.99239 -2.67184 7.4613 3.817 9.9554 9.8007 3.74699 8.8993 -0.1534 10.3462 16.00173 10.3462 6.3367 5.9503 6.4936
34.08255 -2.37575 3.2138 10.488 12.0359 10.1203 5.2332 11.9885 3.0773 6.4611 26.20049 6.4611 10.3732 5.5907 11.2484
23.95728 -0.18122 7.0291 5.3832 5.6566 10.3432 2.29958 11.9408 1.3861 12.6316 14.17267 12.6316 -0.2318 5.4959 6.8309
37.00932 -0.11691 8.7414 1.1275 11.9714 11.2025 4.60997 1.9969 3.3578 12.7465 29.31757 12.7465 10.4249 8.9028 9.543
7.3419 -1.24452 13.1729 1.8902 -0.3162 1.7353 6.99232 8.3046 1.9849 9.4344 10.94044 9.4344 -1.0638 9.6832 3.5307
23.79557 -2.41232 4.8757 2.5833 -1.4128 8.5972 5.6379 7.3425 2.4096 6.4919 22.44299 6.4919 3.8734 11.4851 6.3299
25.63872 -2.75188 11.6952 6.7997 5.9969 4.7585 3.21764 8.7036 2.3182 11.6071 27.58472 11.6071 10.3068 3.9634 6.0487
19.73436 -2.67226 3.26 6.4869 6.6176 5.2255 5.85902 5.9566 -1.0017 7.7524 11.15169 7.7524 4.9221 2.9401 6.3122
