Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,3.100000,3.200000,3.100000,3.190000,3.190000,3162700
2020-06-02,3.340000,3.400000,3.320000,3.340000,3.340000,4225300
2020-06-03,3.470000,3.560000,3.460000,3.540000,3.540000,3997500
2020-06-04,3.590000,3.690000,3.550000,3.630000,3.630000,3785800
2020-06-05,3.920000,3.980000,3.870000,3.900000,3.900000,6582000
2020-06-08,4.060000,4.080000,3.900000,3.980000,3.980000,4557800
2020-06-09,3.850000,3.860000,3.770000,3.830000,3.830000,3236000
2020-06-10,3.820000,3.840000,3.680000,3.680000,3.680000,5405300
2020-06-11,3.480000,3.570000,3.370000,3.370000,3.370000,4826100
2020-06-12,3.530000,3.570000,3.440000,3.510000,3.510000,4671700
2020-06-15,3.340000,3.490000,3.320000,3.450000,3.450000,3855600
2020-06-16,3.570000,3.600000,3.420000,3.490000,3.490000,4663200
2020-06-17,3.530000,3.540000,3.460000,3.470000,3.470000,2618800
2020-06-18,3.410000,3.460000,3.380000,3.410000,3.410000,2804100
2020-06-19,3.520000,3.520000,3.360000,3.380000,3.380000,2380600
2020-06-22,3.380000,3.430000,3.360000,3.420000,3.420000,2593200
2020-06-23,3.560000,3.600000,3.510000,3.520000,3.520000,4565000
2020-06-24,3.440000,3.450000,3.340000,3.350000,3.350000,3047300
2020-06-25,3.330000,3.490000,3.320000,3.480000,3.480000,5041100
2020-06-26,3.420000,3.430000,3.300000,3.300000,3.300000,3996300
2020-06-29,3.380000,3.460000,3.350000,3.420000,3.420000,2848000
